,date,favorite_count,followers_count,friends_count,full_text,retweet_count,retweeted,screen_name,tweet_id,user_id,user_mentions,length
20,2019-06-23 20:02:53,3,62,210,"Thank you @swiggy_in for taking such bright initiative. Another example of gender equality at #SiliconeValleyOfIndia We want more of them in coming future #ThankYouSwiggy #Bengaluru #Swiggy 
https://t.co/FswnphdaOY",0,False,rajat241986,1142885758551777281,326638223,['swiggy_in'],214
21,2019-06-23 20:00:41,1,12,42,@Randevouzz @RoadsOfMumbai @BankiMistry @swiggy_in @Navimumpolice @MumbaiPolice @ThaneCityPolice @SwiggyCares @mumbaitraffic @CPMumbaiPolice @MORTHRoadSafety @YouTube @thunderonroad This is called spreading ‘Awareness’ &amp;trying to find out if he is not the only 1 affected by it.This is how u take different voices for the same issue and convert into One Strong voice so that it reaches the correct authority.I don’t know @thunderonroad &amp; Am not making him a hero,0,False,onetriptonic,1142885205285359616,3226111350,"['Randevouzz', 'RoadsOfMumbai', 'BankiMistry', 'swiggy_in', 'Navimumpolice', 'MumbaiPolice', 'ThaneCityPolice', 'SwiggyCares']",470
22,2019-06-23 20:00:37,0,20,363,@swiggy_in You've got dish descriptions wrong in 'The bowl company' menu. I'm doing the work your technical team must be doing for free 😂😂 https://t.co/lW5pYxlR0L,0,False,montubaxx,1142885187400810496,993900702333358081,['swiggy_in'],162
23,2019-06-23 19:53:35,0,4,7,@SwiggyCares I don't know what cares you give to your patrons?,0,False,AveerjeetD,1142883417035423744,1051553580925169665,['SwiggyCares'],62
25,2019-06-23 19:43:54,1,64,20,@SwiggyCares @zomatocare this is not a paid tweet but a clear comparison of #CustomerService between #swiggy and #zomato .. I have a very clear support and appreciation for #Zomato for there quick turnaround on various queries. #Swiggy customer service will just waste your time.,0,False,avinashpatra8,1142880983777103873,132870011,"['SwiggyCares', 'zomatocare']",279
26,2019-06-23 19:42:13,0,4,7,"@swiggy_in worst service by such a company, first of all giving wrong item then when I m complaining regarding the same they are saying we noted your feedback and sorry for the inconveniences caused instead of replacing the same or refunding the amount.
#shameonyouswiggy
#fraud",0,False,AveerjeetD,1142880558931820544,1051553580925169665,['swiggy_in'],278
27,2019-06-23 19:38:29,0,57,216,@swiggy_in Worst service. @ZomatoIN @Zomato is far better than @swiggy_in . Because of your negligence I missed my dinner yesterday.,0,False,KetuMrityunjay,1142879620905099265,2593541538,"['swiggy_in', 'ZomatoIN', 'Zomato', 'swiggy_in']",132
28,2019-06-23 19:37:49,0,27,365,@SwiggyCares So are you waiting for another incident to happen again ? You must know the value of each customer. Faith in swiggy is totally destroyed now.  It's unbearable for a vegetarian to see a non veg dish.#Disappointed #swiggy,0,False,itsnamangangwal,1142879450675023873,300739220,['SwiggyCares'],232
29,2019-06-23 19:35:03,0,74,161,"@SwiggyCares u give coupons in email, but it does not work. When brought to notice through return email, there is no response. So its simple, dont give coupons. Most do not ask for it.",0,False,aksubba90,1142878754957455360,2408337985,['SwiggyCares'],184
30,2019-06-23 19:32:51,0,13,197,@SwiggyCares cheaters!!  bloody assholes @SwiggyCares have a look,0,False,Cricket58441096,1142878201024303104,1018350056397651969,"['SwiggyCares', 'SwiggyCares']",65
31,2019-06-23 19:32:27,0,4,52,@Cricket58441096 @SwiggyCares first uninstall swiggy app and reply dear,0,False,MirrorofFuture1,1142878099039641600,1137807692100071424,"['Cricket58441096', 'SwiggyCares']",71
32,2019-06-23 19:28:54,0,13,197,@MirrorofFuture1 @SwiggyCares pls share the ss here..... viewers wanna see what this bastards swiggy gave u the offer?,0,False,Cricket58441096,1142877207406219264,1018350056397651969,"['MirrorofFuture1', 'SwiggyCares']",118
33,2019-06-23 19:24:59,0,29,242,"@swiggy_in @SwiggyCares 
Can we trust on swiggy order
Our order will be delivered or not
I ordered 10:30 PM and finally ordered has completed with out delivered 00:04 and also payment has decutued
Too many times I called to swiggy person they also not clear with swiggy CC https://t.co/8tbDor9aPt",0,False,KushG1991,1142876223535812613,4648152559,"['swiggy_in', 'SwiggyCares']",296
34,2019-06-23 19:24:49,0,2242,669,@subhankar_sonu @ZomatoIN @swiggy_in You should be glad that u are getting ur food well packed. Enjoy,0,False,AleeshaGupta,1142876178937602049,55146392,"['subhankar_sonu', 'ZomatoIN', 'swiggy_in']",101
35,2019-06-23 19:20:59,1,227,398,Swiggy delivery guy happily goes on a tour of my neighborhood even crossing my place once 😒 @SwiggyCares,0,False,ganesh_jrg,1142875216260919297,52363326,['SwiggyCares'],104
36,2019-06-23 19:18:08,0,39,137,@SwiggyCares I think this must be the better place for people using swiggy where they can chat with a human and not a bot or the person one who gives an answer which is a template. Call me at 8122440656 by 4pm tommorow.,0,False,dhanakumar_,1142874497260720128,906568199574978560,['SwiggyCares'],219
37,2019-06-23 19:17:24,0,272,885,मेरे खाने की डिलीवरी नही हुई आर्डर क्यों कैंसल हुआ?@swiggy_in @SwiggyCares,0,False,upendradwivedi2,1142874314439417856,288053482,"['swiggy_in', 'SwiggyCares']",74
38,2019-06-23 19:15:54,0,78,54,@SwiggyCares Literally been hungry for over 2 hours now! With no money in my bank account to order for food! What do I eat @swiggy_in ?!!,0,False,garypranav,1142873937681928193,61514958,"['SwiggyCares', 'swiggy_in']",137
39,2019-06-23 19:12:57,0,0,100,@SwiggyCares nd now same thing again repeat one order is missing if u guys are deal wid the customer properly so y u guys are provide fuckoff service ridicules app.. Same less sitty people.. https://t.co/A1svEUBmfP,0,False,KushwahSukanchi,1142873193121812486,984692803014836224,['SwiggyCares'],214
40,2019-06-23 19:12:48,0,78,54,@SwiggyCares Absolutely horrified at the way Swiggy treats it's customers. Been struggling to speak to competent customer care executive/manager to get them to understand our problem! Still haven't gotten my issue sorted https://t.co/ApX3P7aeVk,0,False,garypranav,1142873155871973376,61514958,['SwiggyCares'],244
41,2019-06-23 19:10:34,0,0,100,@SwiggyCares same less this one also not refunded.. Fuckoff service.. Same day second order same time.. https://t.co/zKqqjcvCvj,0,False,KushwahSukanchi,1142872592606322688,984692803014836224,['SwiggyCares'],127
42,2019-06-23 19:09:23,0,33,523,"@swiggy_in or @ZomatoIN,
who's better?",0,False,TheRousan,1142872296081637381,2475990498,"['swiggy_in', 'ZomatoIN']",38
43,2019-06-23 19:09:16,0,0,100,@SwiggyCares this one order also not refunded..fuckoff service.. https://t.co/ghvjMNuYBc,0,False,KushwahSukanchi,1142872268462182400,984692803014836224,['SwiggyCares'],88
44,2019-06-23 19:08:38,0,13,197,@SwiggyCares @coldkaizer asshole!!  whats the Resolution u have provided??,0,False,Cricket58441096,1142872107128369152,1018350056397651969,"['SwiggyCares', 'coldkaizer']",74
45,2019-06-23 19:08:35,0,4,52,@kaptaanindia @swiggy_in @narendramodi @drharshvardhan @WHO @HealthCareGov @DrKumarVishwas @rahulkanwal @anjanaomkashyap @ZeeNews @ndtv @ANI @TIME i have started follow you,0,False,MirrorofFuture1,1142872093219889153,1137807692100071424,"['kaptaanindia', 'swiggy_in', 'narendramodi', 'drharshvardhan', 'WHO', 'HealthCareGov', 'DrKumarVishwas', 'rahulkanwal']",172
46,2019-06-23 19:07:32,0,32,138,"@SwiggyCares @swiggy_in  
@dominos_india didn't even respond to swiggy official's call (trusting what swiggy official told me: unaware of the truth)",0,False,RahulKapoor2412,1142871829238804480,379038538,"['SwiggyCares', 'swiggy_in', 'dominos_india']",148
47,2019-06-23 19:07:16,0,52,474,@harshamjty @SwiggyCares sriharsha you are turning deaf ears to my tweet trust me you have crossed all d limits patgteic. As this kaviyog not to dm me. I will talk only over timeline now.. Nothing to hide,0,False,iprabhatmishra,1142871763124047873,755308722994372608,"['harshamjty', 'SwiggyCares']",204
48,2019-06-23 19:05:30,1,32,138,"@swiggy_in partnered deliveries with @dominos_india is a facade. Swiggy doesn't help the customers with any issues related to orders from Domino's.
Received a wrong delivery and then no help from @swiggy_in

#CustomerService  #Dominos #Swiggydoesntcare  #fooddelivery",0,False,RahulKapoor2412,1142871317097488384,379038538,"['swiggy_in', 'dominos_india']",267
49,2019-06-23 19:03:51,0,52,474,@harshamjty @SwiggyCares dear sri you sorry is not fixing d dent over my locket. This is the first time any costumer has offered food from there house to check the quality. Rest assured. This time i will drag it to any extent yiu want.,0,False,iprabhatmishra,1142870905233657856,755308722994372608,"['harshamjty', 'SwiggyCares']",235
50,2019-06-23 19:03:12,0,154,228,@SwiggyCares I will wait for your call.,0,False,withlovePolo,1142870741462978561,2190173617,['SwiggyCares'],39
51,2019-06-23 19:03:11,0,3,119,@SwiggyCares @swiggy_in My last order kept me waiting for more than 90 minutes. Still the order was not delivered and had to be cancelled. Pathetic service from Swiggy. Restaurant it's just 1km away from my home.,0,False,karmabhagya,1142870735804780544,782594344628867072,"['SwiggyCares', 'swiggy_in']",212
52,2019-06-23 19:02:49,0,0,100,@SwiggyCares you guys r thinking us mad or u people r smrt.. evrytime u r doing the same thing nd u really naming it as CUSTOMER SUPPORT u shitty people making us fool everytime by saying we will sort it . wht r u doing ?? u r closeing the chat conversation.. didn't respond propr,0,False,KushwahSukanchi,1142870645123928064,984692803014836224,['SwiggyCares'],280
53,2019-06-23 19:02:25,0,52,474,@harshamjty @SwiggyCares left with no option but to come again via a verified account with over 72000 followers  and i am outting this on record no amount of token wud be accepted from my end at any cost. I wont relent. Sharing the screen shot of your cc executive..,0,False,iprabhatmishra,1142870542900269056,755308722994372608,"['harshamjty', 'SwiggyCares']",266
54,2019-06-23 19:02:06,6,154,228,@BanglaPokkho আজ @swiggy_in র সাথে এই অদ্ভুত অভিজ্ঞতা হলো। আমি হাওড়া তে থাকি।ডেলিভারি ছেলেটি বাংলা আর ইংলিশ এ কথা বলতে অস্বীকার করে। সে নাকি শুধু হিন্দি তে কথা বলবে। আমার কোল্ড কফি টা খেয়েও নিয়েছে কিছুটা। ছেলেটির নাম অমিত গিরি। হিন্দিভাষী রা নোংরামি শুরু করেছে। https://t.co/9Hk77i6fRD,2,False,withlovePolo,1142870464269815810,2190173617,"['BanglaPokkho', 'swiggy_in']",288
55,2019-06-23 19:01:11,0,52,474,@harshamjty @SwiggyCares dear sri. You have hired such bunch of incompetent people.. And gid forbid if this unholy nexus between resturant and you is from top managment and in your policy.. You delivered me stake food. Thrown food has been shown to you but yiu are not refunding,0,False,iprabhatmishra,1142870230672089089,755308722994372608,"['harshamjty', 'SwiggyCares']",278
57,2019-06-23 18:59:50,0,224,1221,@SwiggyCares Thank you very much i really am happy,0,False,mrsmanjudhidhar,1142869894435786752,1132748635479785473,['SwiggyCares'],50
58,2019-06-23 18:55:08,0,5,3,@zomatocare @Zomato @ZomatoIN Have already done that. Wish you had read the tweets seriously. I used to be under impression that Zomato is a bigger name. Shamefully for your me thankfully for me @swiggy_in @SwiggyCares could deliver my ice creams in time,0,False,rihanaster,1142868711046467585,153367858,"['zomatocare', 'Zomato', 'ZomatoIN']",254
59,2019-06-23 18:51:16,3,14,71,"@dominos_india I had a worst ever experience 
Invoice number: 676161/19/6571
Complaint reference number:9886043
#pizza delivery in 2.5 hours
 @dominos @Dominos_UK @EconomicTimes @BBCNews @IndiaToday @SakshiHDTV @TV9Telugu  @swiggy_in https://t.co/xlw89Aq04W",0,False,paramesh516289,1142867738123067392,4723024314,['dominos_india'],257
60,2019-06-23 18:49:19,0,39,137,@SwiggyCares Is this the place where you respond? I've been trying to contact you people for the past 8 days which went in vain. Don't ever come up with a sorry again. I've heard a lot from you guys again and again. Sorry doesn't gives me any solution.,0,False,dhanakumar_,1142867247381110784,906568199574978560,['SwiggyCares'],252
61,2019-06-23 18:49:12,0,3,46,@SwiggyCares wtf is happening I get one order on time then other after multiple calls if your delivery is working on GPS then fix it and give them a download to see the delivery address...,0,False,SidhartyaK,1142867215001276416,4012204337,['SwiggyCares'],188
62,2019-06-23 18:48:51,0,154,228,@SwiggyCares Anytime during the day. Do you havr access to my contact?,0,False,withlovePolo,1142867126883164167,2190173617,['SwiggyCares'],70
63,2019-06-23 18:47:27,0,1358,1088,@SwiggyCares Nopes. Not acceptable to me. We can end it here. You can keep the token coupon.,0,False,KhuranaPrateek,1142866775958147072,5773372,['SwiggyCares'],92
64,2019-06-23 18:44:40,0,454,1497,@dhanakumar_ @swiggy_in @SwiggyCares Sir use dhankumar100 promocode for better service,0,False,mogunkumard,1142866077212266496,3705336314,"['dhanakumar_', 'swiggy_in', 'SwiggyCares']",86
65,2019-06-23 18:43:12,0,16,45,"@swiggy_in A boy,, I don't remember his name, just got order for 6sandwiches from quality wall,  civic Center,  city bhilai around 10:40pm on 23june19 on COD basis.  And he delivered only 3sandwiches free to his friend.  How it's possible",0,False,chandrajak,1142865704619634688,148706144,['swiggy_in'],238
66,2019-06-23 18:42:13,0,4,52,"@SwiggyCares your reply in DM is too poor, i can't accept your offer, #stop_fraud #uninstall_swiggy",0,False,MirrorofFuture1,1142865457784877061,1137807692100071424,['SwiggyCares'],99
68,2019-06-23 18:39:58,2,154,228,"@swiggy_in @SwiggyCares My name is poulomi,my order id:44378235572. The delivery(Amit Giri) boy's attitude was so rude towards me. He refused to communicate in English or Bengali.He forced me to speak in Hindi otherwise refused to deliver my order.",0,False,withlovePolo,1142864893676310529,2190173617,"['swiggy_in', 'SwiggyCares']",248
69,2019-06-23 18:39:29,0,25,43,@SwiggyCares Response to your DM. https://t.co/6dcSe0OyFB,0,False,karnikgulati,1142864770170675200,57721448,['SwiggyCares'],57
70,2019-06-23 18:39:05,0,20,48,@SwiggyCares My relatives had leave without having some sweets and now i have to hear from my relative that even you couldn't arrange sweeta for us. This is shameful SWIGgy i want compensation.,0,False,Jaipurvala,1142864671138971648,786891331108868100,['SwiggyCares'],193
71,2019-06-23 18:35:17,0,11,117,@SwiggyCares @swiggy_in had placed an order and the delivery boy told me to cancel as he has to go home. I tried talking to the customer care and he connected me to the delivery boy only to tell me I am lying. Very dissppointed with the service which was once great. https://t.co/enfBJP2EKV,0,False,Siddhant1909,1142863712551755779,864786294,"['SwiggyCares', 'swiggy_in']",290
72,2019-06-23 18:35:16,0,50,83,Thanks @SwiggyCares @swiggy_in for delivering on time look @zomatocare  @ZomatoIN  @Zomato they have delivered the orderd without vany excuses https://t.co/jtIf43x60a https://t.co/TV7c7Z3gxH,0,False,Thesauravpandey,1142863708009324549,74655573,"['SwiggyCares', 'swiggy_in', 'zomatocare', 'ZomatoIN', 'Zomato']",190
73,2019-06-23 18:34:01,0,39,137,"I have ordered using swiggy last Saturday(#43691366648).Have experienced the shittiest customer service ever.Are they really trained?
It's been more than a week.But issue is not resolved.I'm not able to call the customer care. @swiggy_in @SwiggyCares",0,False,dhanakumar_,1142863394451537920,906568199574978560,[],250
74,2019-06-23 18:33:54,0,20846,2023,"@MirrorofFuture1 @swiggy_in @narendramodi @drharshvardhan @WHO @HealthCareGov @DrKumarVishwas @rahulkanwal @anjanaomkashyap @ZeeNews @ndtv @ANI @TIME Hey Abhimanyu, we are disheartened to hear this and sincerely apologize for this letdown. Kindly initiate a DM with your order details so that we can have that resolved for you.   
^Brijesh",0,False,SwiggyCares,1142863367553474560,3286336254,"['MirrorofFuture1', 'swiggy_in', 'narendramodi', 'drharshvardhan', 'WHO', 'HealthCareGov', 'DrKumarVishwas', 'rahulkanwal']",339
75,2019-06-23 18:30:37,0,4,52,"the delegates please response us as soon as for safety of human health and fraud beacause currently no any government body help me, so my request to opposition please do something for stop fraud from @swiggy_in
please you opposition 
@rssurjewala @INCIndia @AamAadmiParty",1,False,MirrorofFuture1,1142862541493719043,1137807692100071424,[],271
76,2019-06-23 18:29:40,0,52,474,@SwiggyCares Check ur dm.. Highly urgent,0,False,iprabhatmishra,1142862300883255297,755308722994372608,['SwiggyCares'],40
77,2019-06-23 18:24:31,0,74,135,@SwiggyCares  no helmet rule is applicable for swiggy driver ???? @MumbaiPolice. Can you chk with this company https://t.co/LRtRrTa66A,0,False,avc_201,1142861004528738304,515601424,"['SwiggyCares', 'MumbaiPolice']",134
78,2019-06-23 18:23:21,0,179,268,@Dead_hot_Dodo @swiggy_in @SwiggyCares Also check if the burger was packaged with കൃപാസനം paper 😁😁 https://t.co/mHqxwDZ8b8,0,False,ram3481,1142860709774016512,51778878,"['Dead_hot_Dodo', 'swiggy_in', 'SwiggyCares']",122
79,2019-06-23 18:21:31,0,1358,1088,@SwiggyCares And this is when the number of orders I've placed MTD is 31.,0,False,KhuranaPrateek,1142860248652189696,5773372,['SwiggyCares'],73
80,2019-06-23 18:19:48,0,34,268,"On top of that, @swiggy_in @SwiggyCares customer care offering Rs. 30/- as an apology, as if I'm a beggar https://t.co/uOljq89zHf",0,False,itsvinitmehra,1142859818077523968,1964134004,"['swiggy_in', 'SwiggyCares']",129
81,2019-06-23 18:19:35,0,1358,1088,@SwiggyCares You should check my DMs with you on June 2 as well. Same story.,0,False,KhuranaPrateek,1142859764726022144,5773372,['SwiggyCares'],76
82,2019-06-23 18:19:32,0,18,326,"@SwiggyCares @SwiggyCares have just DM' ed you the location. Also, cam you please let me have a order placed with the proper discounts??@SwiggyCares",0,False,sonudaredevil3,1142859752197636096,4723481241,"['SwiggyCares', 'SwiggyCares']",148
83,2019-06-23 18:19:16,0,1,84,"@SwiggyCares Yeah, all copy paste messages no conclusion",0,False,sunil17ent,1142859683977318400,941271626993168384,['SwiggyCares'],56
84,2019-06-23 18:18:44,0,50,83,Look this guys are called professional @swiggy_in @SwiggyCares they accept the order &amp; going to deliver no dam excuses from the delivery boy/ rider @zomatocare  @ZomatoIN  @Zomato pathetic service from you guys. https://t.co/8iWG9XrfCC https://t.co/XrTTfsChWo,0,False,Thesauravpandey,1142859548014723073,74655573,"['swiggy_in', 'SwiggyCares']",263
85,2019-06-23 18:17:47,0,6,57,"@SwiggyCares I'm not sleeping hungry bcoz of you guyz.
#swiggygivememymoneyback.",0,False,ravikabrastocks,1142859311942529024,997189267917959168,['SwiggyCares'],80
86,2019-06-23 18:17:18,0,104,97,What shame that all the authorities got sold to @swiggy_in ?,0,False,Uncommon05,1142859189653389313,900180384,['swiggy_in'],60
87,2019-06-23 18:15:30,0,6,23,"@swiggy_in@SwiggyCaresHello team,I had called you customer service today the advisor who works in theMumbailocation(name:sad.s)He isexcellentandoutstandingperformance he will success in his career plz give him someappreciationor Goodie's from swiggy he rocks"" pillar of swiggi""he",0,False,Subin50793537,1142858734525243392,878149674317651968,[],279
88,2019-06-23 18:15:29,0,78,779,"@SwiggyCares multiple phone calls and emails to your customer and escalations team have been fruitless. 
Have been promised a call back and a resolution which never happened . 
Was supposed to receive a 1200rs voucher never got one. https://t.co/j3SEI0nA5O",0,False,kunalsampats,1142858729794097152,30661904,['SwiggyCares'],256
90,2019-06-23 18:15:07,0,4,52,"@kaptaanindia @swiggy_in @narendramodi @drharshvardhan @WHO @HealthCareGov @DrKumarVishwas @rahulkanwal @anjanaomkashyap @ZeeNews @ndtv @ANI @TIME Great step, i will follow you dear, because my commitment is which people uninstall swiggy i will follow them....So i will start follow you",0,False,MirrorofFuture1,1142858640744833024,1137807692100071424,"['kaptaanindia', 'swiggy_in', 'narendramodi', 'drharshvardhan', 'WHO', 'HealthCareGov', 'DrKumarVishwas', 'rahulkanwal']",286
92,2019-06-23 18:13:30,0,104,97,@SwiggyCares Sleeping or counting the duped money with Chor @harshamjty,0,False,Uncommon05,1142858232521621504,900180384,"['SwiggyCares', 'harshamjty']",71
93,2019-06-23 18:12:46,0,1358,1088,@NotAbhishek @SwiggyCares @harshamjty He did reply when I wrote this https://t.co/rVbTGUBpSD 2 yrs back :),0,False,KhuranaPrateek,1142858046000910336,5773372,"['NotAbhishek', 'SwiggyCares', 'harshamjty']",106
94,2019-06-23 18:12:30,1,9,211,@MirrorofFuture1 @swiggy_in @narendramodi @drharshvardhan @WHO @HealthCareGov @DrKumarVishwas @rahulkanwal @anjanaomkashyap @ZeeNews @ndtv @ANI @TIME I am also Uninstaling swiggy,1,False,kaptaanindia,1142857979303092224,901036158225756160,"['MirrorofFuture1', 'swiggy_in', 'narendramodi', 'drharshvardhan', 'WHO', 'HealthCareGov', 'DrKumarVishwas', 'rahulkanwal']",178
95,2019-06-23 18:11:58,0,6,23,"@SwiggyCares Hello team,I had called you customer service today the advisor who works in theMumbai location(name:sad.s)He isexcellentandoutstandingperformance he will success in his career plz give him someappreciation or Goodie's from swiggy he rocks"" pillar of swiggi"" he is",0,False,Subin50793537,1142857844363972608,878149674317651968,['SwiggyCares'],276
96,2019-06-23 18:11:34,0,1,34,"@SwiggyCares 
Order ID- #44382204963
Invoice Number:- 2019-06/C/70619256
Inedible Food. Swiggy should discontinue this Restaurant for sake of customers and for its business!",0,False,Mallika87764107,1142857744325607424,1096637387378053121,['SwiggyCares'],173
97,2019-06-23 18:11:23,0,34,268,This is what @swiggy_in delivered to us just now. These bottles are unopened. Who is to blame? @Keventersshake or @swiggy_in? Because this definitely isn’t the quantity we ordered and paid for? https://t.co/3LzG1MsBzc,1,False,itsvinitmehra,1142857701342363648,1964134004,"['swiggy_in', 'Keventersshake']",217
98,2019-06-23 18:10:20,0,1,9,@swiggy_in,0,False,kamalfalwaria,1142857433682833408,980045113517887490,['swiggy_in'],10
99,2019-06-23 18:10:12,0,6,28,"@SwiggyCares Ur ""sorry"" is not feeding me.. i m hungry nd i paid for my food.. do u understand",0,False,KnlNitin,1142857402271686656,2674064166,['SwiggyCares'],94
101,2019-06-23 18:09:00,0,6,28,@SwiggyCares U know why people use swiggy... so that they can eat (not in free) now if i hv to wait for long nf amount is deducted why i m using @swiggy_in .. bullshit,0,False,KnlNitin,1142857098088177664,2674064166,['SwiggyCares'],167
102,2019-06-23 18:08:56,0,4,52,@kaptaanindia @swiggy_in @SwiggyCares i think you should also uninstall swiggy,0,False,MirrorofFuture1,1142857084477640704,1137807692100071424,"['kaptaanindia', 'swiggy_in', 'SwiggyCares']",78
103,2019-06-23 18:08:50,0,116,360,@UberEats wow!!  Escalation team says can't give compensation for order not delivered.  Refuses to give full name designation.  Refuses to reply in mail!!  What a service. @swiggy_in is loads better!!!,0,False,padmanabanv,1142857057114005504,40629565,['UberEats'],201
104,2019-06-23 18:08:24,0,18,326,"@SwiggyCares @swiggy_in hope u understand there's a big issue in these kind of complaints, and give a solution ASAP so that we may order. Why is the cart value not coming to,what its supposed to?? I.e.50% of the value...
?? https://t.co/0C56fN9CZe",0,False,sonudaredevil3,1142856948355870721,4723481241,"['SwiggyCares', 'swiggy_in']",247
105,2019-06-23 18:08:03,0,262,391,@SwiggyCares Mr. Sam from escalation team called. Promised to look into the issue and resolve. Much more mature and responsible behavior compared to your customer care executives.,0,False,Amit_Phatak,1142856860652851200,63384320,['SwiggyCares'],179
106,2019-06-23 18:07:53,0,1,9,@SwiggyCares please check the photo very bad experience with the swiggy iam using your app most of the time but since last 3-4 weeks your services quality and food quality of some of your restaurant are getting poor day by day and today evening experience is worst theme all https://t.co/PRnliDPpgd,0,False,kamalfalwaria,1142856819380912128,980045113517887490,['SwiggyCares'],298
