,date,favorite_count,followers_count,friends_count,full_text,retweet_count,retweeted,screen_name,tweet_id,user_id,user_mentions,length
13,2019-06-22 22:20:40,0,103,143,"@NoMeRcY_1988 @mayursakhare @PAWANSANAN @Zomato @ZomatoIN @londonbubbleco This shows your lack of knowledge about any business. Uber is non Indian company basically asking private parties to register their vehicle with them and start using it as cab under their name tag. You foolish, go use your brain Psychopath.",0,False,Sheetal72661690,1142558046767517696,941741816956809221,"['NoMeRcY_1988', 'mayursakhare', 'PAWANSANAN', 'Zomato', 'ZomatoIN', 'londonbubbleco']",314
14,2019-06-22 22:13:13,0,301,926,"@zomatocare  hi I ordered  two items one comes at poured milk that's terrifying to drink
next order  I ordered  at 2:32 till now I didn't receive my order",0,False,immvarma,1142556172987224064,2298039493,['zomatocare'],154
15,2019-06-22 22:10:48,0,0,27,@zomatocare @ZomatoIN  i was expecting some help to get my money back. It is almost 10 days and i haven't received my money. You people accepted that is your UPI mode which caused the error then why I haven't received my money https://t.co/24dzbk8nii,0,False,ApurvBajpai07,1142555563659628544,999044736,"['zomatocare', 'ZomatoIN']",250
16,2019-06-22 22:07:53,3,388,2335,"It's been one and a half hour I have ordered from #Zomato,  the food has not been delivered  yet,  neither your customer support people are helping. 
Your delivery executive is very rude and forcing me to cancel the order. It's 3:30 am, there is no way to get food now.
 @ZomatoIN https://t.co/4JIbI7BAQM",0,False,amankr1792,1142554830512111616,3003841070,[],304
18,2019-06-22 21:26:30,0,27,36,@zomatocare @zomatocare  you call me at 12:44am through this number 9711423272 this is a right time to call any one ? Highly disappointed.,0,False,pulakrock1234,1142544414671134720,224149074,"['zomatocare', 'zomatocare']",138
21,2019-06-22 21:15:07,1,71,1,@PreyasjainUdr1 @zomatocare Ruk na bhai inki company hi band karata hu!,0,False,kailashhhhhh,1142541548141367296,4748542086,"['PreyasjainUdr1', 'zomatocare']",71
22,2019-06-22 21:12:34,1,392,54,"@zomatocare Zomato's Twitter Support Executive are dumb like the app chat support. 
Read the above thread @zomatocare",0,False,imgajen,1142540908014923777,125764443,"['zomatocare', 'zomatocare']",117
24,2019-06-22 21:04:14,0,164,1373,@zomatocare Dear @Zomato @zomatocare @ZomatoIN please call Tommorw within 11AM to 11PM ... -Ananya,0,False,rupamsarkar72,1142538810825166848,2316846367,"['zomatocare', 'Zomato', 'zomatocare', 'ZomatoIN']",98
25,2019-06-22 21:03:10,0,57,416,"@zomatocare Very clearly you’re aware. Because if you were, you’d have known that support replied after almost an hour, and then initiated a refund with a template apology message. I would never return to order from your platform again.",0,False,PrashantBalaji1,1142538543698366464,460771097,['zomatocare'],236
28,2019-06-22 20:48:25,0,619,477,@zomatocare Everything else is working except the delivery part. I even updated the app.,0,False,daisyleivon,1142534828455129088,76068473,['zomatocare'],88
30,2019-06-22 20:43:28,0,60,189,I have been waiting since 25 minutes for a reply. Highly unprofessional. Got a completely wrong order. @Zomato @ZomatoIN https://t.co/djLxlNVWST,0,False,Eizentek,1142533585024376832,2391397886,['Zomato'],144
32,2019-06-22 20:35:03,0,28,50,@capt_ivane @sardanarohit @ZomatoIN @BercosChinese Same happened with me today from Zomato. I ordered for grilled veg sandwich and was given non veg sandwich from the restaurant The lo-cal Kitchen. And Zomato customer care is so dumb that they choose to blame customer and colluded with restaurant. @ZomatoIN @zomatocare,0,False,Raviarien,1142531466762448896,2269845600,"['capt_ivane', 'sardanarohit', 'ZomatoIN', 'BercosChinese']",320
33,2019-06-22 20:30:35,0,18,156,@zomatocare @capt_ivane @ZomatoIN Ha mc.banda mar jayega aur tum investigate hi krte rahoge...will never order anything atleast from zomato,0,False,Danzerous786,1142530342030413824,770810684376543233,"['zomatocare', 'capt_ivane', 'ZomatoIN']",139
34,2019-06-22 20:28:36,3,4,31,Very very disappointed with @zomatocare I'm facing an issue with an order &amp; I'm trying to contact  to the customer support but when i call and message there is no response from there end. It's so bad that @ZomatoIN is not able  to provide good services to there regular customers.,1,False,Yashashavi15,1142529843357085696,2422196313,['zomatocare'],284
36,2019-06-22 20:19:03,0,19,53,"@zomatocare Seems like I missed it...
#boycottZomato",0,False,winkmadman,1142527440247332864,95245269,['zomatocare'],52
38,2019-06-22 20:17:37,0,19,53,"@zomatocare Well I that a couple of days ago, but u know what....YOU GUYS DONT CARE.
Anyways here u go again 9899519394",0,False,winkmadman,1142527077867855873,95245269,['zomatocare'],119
39,2019-06-22 20:13:59,0,7,61,"@KaveaRChavali @Zomato @Zomato has the worst customer service 
@ZomatoIN
 @zomatocare",0,False,hardikhr11,1142526164679852032,2896482908,"['KaveaRChavali', 'Zomato', 'Zomato', 'ZomatoIN', 'zomatocare']",85
40,2019-06-22 20:13:17,0,23,143,"@ZomatoIN @Zomato 
I have been chasing @zomatocare  from 1 week regarding my order (pfa). My questions were
1. How come 50% of 174 is 45.
    For this they replied with some formula which was not mentioned while we look for steps to use cricket code.
2. My answers to all of three",0,False,_am_IT_,1142525986736467968,1331597809,"['ZomatoIN', 'Zomato', 'zomatocare']",280
41,2019-06-22 20:13:05,0,1206,1626,@zomatocare No action?? Why bother replying here too?,0,False,aayushvarora,1142525937432453120,2338257324,['zomatocare'],53
42,2019-06-22 20:12:51,0,619,477,@zomatocare why am I getting this error? It has been 2 days!!!! https://t.co/9vmlcy5iPM,0,False,daisyleivon,1142525880465444864,76068473,['zomatocare'],87
43,2019-06-22 20:12:15,3,392,54,"Mr.Anurag (Chat support)
we'll investigate against this issue &amp; won't be able to help you in this case as we tried reaching you but couldn't connect.
@Zomato—Who stole my food? You? the restaurant or the Delivery Guy?? Where's My money??
@zomatocare (2/2)
#ScamAlert #Banzomato",0,False,imgajen,1142525728392507392,125764443,[],281
44,2019-06-22 20:12:14,2,392,54,"Where is my order?? 
@ZomatoIN
I want to report a #scam @Pawan_Connect @irvpaswan 
@Zomato Valet couldn't deliver the order (2033231616) saying I have called 2 times, the number was unreachable, have returned the food to the restaurant &amp; As per the restaurant he never did. (1/2)",0,False,imgajen,1142525724751847424,125764443,"['ZomatoIN', 'Pawan_Connect', 'irvpaswan', 'Zomato']",283
45,2019-06-22 20:10:04,0,7,61,"@thatgunnerboy @BCCI @Zomato @Zomato has the worst customer service 
@ZomatoIN
 @zomatocare",0,False,hardikhr11,1142525178779320320,2896482908,"['thatgunnerboy', 'BCCI', 'Zomato', 'Zomato', 'ZomatoIN', 'zomatocare']",91
46,2019-06-22 20:09:52,1,3,14,"@ZomatoIN please review the management response on the application.
@fssaiindia @SwiggyCares @swiggy_in https://t.co/biVoT2Eum5 https://t.co/pdc5pvuOyW",0,False,BChandarana1,1142525129039024128,1850687952,"['ZomatoIN', 'fssaiindia', 'SwiggyCares', 'swiggy_in']",151
47,2019-06-22 20:09:34,0,57,182,"@zomatocare okay. Because when i talked with your customer care, they just said that they will get back soon",0,False,karan_kapoor_95,1142525055013773317,2173469546,['zomatocare'],108
48,2019-06-22 20:09:04,0,7,61,"@AnirudhaDixit @Zomato has the worst customer service 
@ZomatoIN
 @zomatocare",0,False,hardikhr11,1142524927204921345,2896482908,"['AnirudhaDixit', 'Zomato', 'ZomatoIN', 'zomatocare']",77
50,2019-06-22 20:05:17,0,3,14,@ZomatoIN review their managements response on Zomato application.,0,False,BChandarana1,1142523976645615616,1850687952,['ZomatoIN'],66
51,2019-06-22 20:04:51,0,7,61,"@RaviRan29812272 @fssaiindia @irvpaswan @BJP4India @deepigoyal @narendramodi @PMOIndia They are the worst.@Zomato has the worst customer service 
@ZomatoIN
 @zomatocare",0,False,hardikhr11,1142523866968760320,2896482908,"['RaviRan29812272', 'fssaiindia', 'irvpaswan', 'BJP4India', 'deepigoyal', 'narendramodi', 'PMOIndia', 'Zomato']",168
52,2019-06-22 20:04:34,0,0,4,@zomatocare 1787096572,0,False,DineshShahani3,1142523796651249664,1052558647648124929,['zomatocare'],22
54,2019-06-22 20:02:00,0,7,61,"@Zomato has the worst customer service 
@ZomatoIN
 @zomatocare",0,False,hardikhr11,1142523148446736384,2896482908,"['Zomato', 'ZomatoIN', 'zomatocare']",62
56,2019-06-22 20:00:29,0,25,95,"@zomatocare @capt_ivane @ZomatoIN Yes truely said, they even g8ve rotten food n when u complain they even dnt reply u.",0,False,ChirkutJi,1142522766781906944,1055535481260306432,"['zomatocare', 'capt_ivane', 'ZomatoIN']",118
57,2019-06-22 20:00:29,0,0,16,Ordered food from @swiggy_in and Got Delivered by @ZomatoIN. Wow. That too I Ordered with the Food Preparation Instructions Stating NO EGG. (As my Mother is Allergic to It) Got the Delivery Late. With No Special Instructions Followed. My Money Wasted My Time Wasted. @SwiggyCares https://t.co/rPQ5QKZawu,0,False,AjinkyaAstekar,1142522765544607745,1136972244259725312,"['swiggy_in', 'ZomatoIN']",303
58,2019-06-22 20:00:17,2,430,1687,@alokshukla30 @capt_ivane @sardanarohit @ZomatoIN @BercosChinese Very good perfect solution,0,False,manishupadhya10,1142522716072710144,345216927,"['alokshukla30', 'capt_ivane', 'sardanarohit', 'ZomatoIN', 'BercosChinese']",91
60,2019-06-22 19:59:11,0,7,61,@EconomicTimes Zomato has the worst customer service @ZomatoIN @zomatocare,0,False,hardikhr11,1142522439840047104,2896482908,"['EconomicTimes', 'ZomatoIN', 'zomatocare']",74
61,2019-06-22 19:57:55,0,7,61,"@deepigoyal do u even know how much a shit company yiu have founded. You have the worst customer service. I have emailed, messaged, tweeted about my concern zillionth times but nobody listen. Never order anything from @ZomatoIN @zomatocare @Zomato Everyone.",0,False,hardikhr11,1142522123648262144,2896482908,['deepigoyal'],257
62,2019-06-22 19:54:57,0,1,4,"@zomatocare That's already given,  please check the tweets properly",0,False,Raghuna32423565,1142521373371142144,1119503192293695490,['zomatocare'],67
63,2019-06-22 19:53:16,2,581,4128,Is there anyone to reply my concern on zomato app @Zomato @ZomatoIN @zomatocare,1,False,im_PunitK,1142520953521369088,379331803,"['Zomato', 'ZomatoIN', 'zomatocare']",79
64,2019-06-22 19:53:08,0,57,162,"@ZomatoIN @zomatocare I placed an order and paid for it. It shows the order was cancelled because of payment failure. I've been waiting for Zomato chat for the last 44 mins. No response! 
No wonder @swiggy_in is better than you.",0,False,NirboP,1142520918624747520,1298849119,"['ZomatoIN', 'zomatocare']",228
67,2019-06-22 19:52:26,0,7,61,@zomatocare does any of you guys listen. Worst customer service ever.,0,False,hardikhr11,1142520741306388480,2896482908,['zomatocare'],69
68,2019-06-22 19:52:25,0,50,314,@capt_ivane @sardanarohit @ZomatoIN @BercosChinese Yes this is 100% true. Also they are ordering the worst food in fine wrappers. They are not responsible for quality of food becz they don't have any mechanism to examine this. They have their boy who pick up the food from hotel and deliver it to u directly.,0,False,RoshanManish,1142520738470977536,876101124,"['capt_ivane', 'sardanarohit', 'ZomatoIN', 'BercosChinese']",308
71,2019-06-22 19:49:43,0,1,47,"@zomatocare @Zomato  i didnt expected it from zomato

How can they list restraunt which are giving stale food

n this can affect hygenic n health problems for people bcz of this type of stale food

I just want my refund",0,False,msdshan,1142520056460406785,1054760531645542400,"['zomatocare', 'Zomato']",219
72,2019-06-22 19:49:13,0,41,159,@zomatocare 1766489375,0,False,shank2601,1142519930358661120,116361970,['zomatocare'],22
74,2019-06-22 19:47:12,0,1,47,"@Zomato @zomatocare 
Worst service

I ordered chicken handi from zomato and they gave me toatally stale n bad smell food

I dont know how much old materials they uses i had eaten little bit and found very bad

Very dissapointed  n they r not replying too",0,False,msdshan,1142519425830027265,1054760531645542400,"['Zomato', 'zomatocare']",254
75,2019-06-22 19:45:16,0,2,20,@zomatocare 1601233309,0,False,NAVEENBAGOTIA,1142518939198476288,387608572,['zomatocare'],22
76,2019-06-22 19:44:14,0,44,33,"Why u always fail  I'm customer centricity.. @zomatocare @ZomatoIN @Zomato @ZomatoGold @zomat
Please don't ask me for giving u more details on DM.. kindly be back with some solution https://t.co/4K9QR89iIE",0,False,mangalam_tri,1142518677884952576,3118216342,"['zomatocare', 'ZomatoIN', 'Zomato', 'ZomatoGold', 'zomat']",205
77,2019-06-22 19:38:54,0,79,429,"Tum saalo flirt karo kisi Ladki ke fake accounts ke saath,
Ye achha kar sakte ho @zomatocare 
Kitnaa fasaoge bey https://t.co/10hRLAFc0B",0,False,TheDopeDay1,1142517337645445120,1130359280257814528,['zomatocare'],136
78,2019-06-22 19:38:32,1,669,211,@swagat06 @Zomato @zomatocare @ZomatoIN https://t.co/yrYUkIdu1b,0,False,vaikon,1142517242107584512,58516570,"['swagat06', 'Zomato', 'zomatocare', 'ZomatoIN']",63
79,2019-06-22 19:38:02,0,15,34,@zomatocare @ZomatoIN @deepigoyal @pankajchaddah ??????,0,False,renithren,1142517116307828736,593501021,"['zomatocare', 'ZomatoIN', 'deepigoyal', 'pankajchaddah']",55
81,2019-06-22 19:36:17,1,230,43,@zomatocare https://t.co/b4WPV9Rq7Q,0,False,Debasismm_,1142516675922649090,702256820,['zomatocare'],35
83,2019-06-22 19:35:13,0,27,98,@zomatocare Didnt got any solution till now,0,False,Prem586,1142516407877263360,514052573,['zomatocare'],43
84,2019-06-22 19:32:05,0,4,61,"@capt_ivane @sardanarohit @ZomatoIN @BercosChinese I think there are protocols in such mishappening you can report the issue and get the needful resolution, you should avoid post every matter on social media and give at least one chance to @zomatocare @ZomatoIN to resolve, there certain steps in such cases",0,False,sarcastwiter,1142515619079704576,1119158740156964865,"['capt_ivane', 'sardanarohit', 'ZomatoIN', 'BercosChinese']",307
85,2019-06-22 19:31:23,0,5,96,@swiggy_in should learn how to provide basic customer support from @ZomatoIN. Highly unprofessional service.,0,False,AbhiLahwf,1142515443069927424,964456005391171584,"['swiggy_in', 'ZomatoIN']",108
87,2019-06-22 19:29:44,0,30,195,"@Zomato @ZomatoIN 
I am extremely unhappy with the service being a gold customer.
Ystr I ordered some food which never got delivered to compensate for this the agent gave me some credits .Now when I want to order something from those credits ,the agent tells me it is not possible",0,False,swappyswapnil,1142515029754781696,150312830,"['Zomato', 'ZomatoIN']",280
88,2019-06-22 19:29:44,0,164,1373,Dear @Zomato @zomatocare @ZomatoIN @ZomatoGold wht kind of pathetic services ur giving disgusting.. please assist mw regarding thia order id.. i hv taken food from ur dilevry boy &amp; paid Also taken receipt sitll ur system shows i will be charged for it why??? #Zomato @zomatocare https://t.co/pYDKYYA5rS,0,False,rupamsarkar72,1142515029457002496,2316846367,"['Zomato', 'zomatocare', 'ZomatoIN', 'ZomatoGold']",306
89,2019-06-22 19:27:25,0,355,558,@zomatocare BTW.. Your sorry will not feed my starving stomach. No I guess !!,0,False,swagat06,1142514445727326208,102430225,['zomatocare'],77
92,2019-06-22 19:25:11,1,6,151,@zomatocare @manishguptaips Sir mera to refund hi Ni aaaya 15 din ho gaye,0,False,bharat_amla,1142513885565423617,1127783974460248064,"['zomatocare', 'manishguptaips']",73
93,2019-06-22 19:25:06,0,1,4,"@Zomato @zomatocare now again I am trying to contact the support and no response from past 20 minutes,  these days it's becoming very pathetic service e",0,False,Raghuna32423565,1142513865109856256,1119503192293695490,"['Zomato', 'zomatocare']",152
96,2019-06-22 19:24:48,0,355,558,@zomatocare I hope you can see the order id. https://t.co/vVLcr9qdyi,0,False,swagat06,1142513788970659840,102430225,['zomatocare'],68
97,2019-06-22 19:24:45,0,530,172,"@Chetlur @r_ganesh @ZomatoIN @mcdonaldsindia LOL. In 2014, App1 made an offer of 30% off in Pune. When I tapped it, it went to Gurgaon store of App2, which said I'm outside coverage area. 5 years later, technology is working even better! https://t.co/5DPMTlcjl4",0,False,s_ketharaman,1142513775746023424,15344522,"['Chetlur', 'r_ganesh', 'ZomatoIN', 'mcdonaldsindia']",261
98,2019-06-22 19:24:03,0,1,4,"@Zomato @zomatocare this is the second time,  I am having this bad experience with you,  take the money and never deliver the product promised. It's your responsibility to contact the restaurant and not to avoid customer by saying unable to contact,  what the customer have to do",0,False,Raghuna32423565,1142513600440885248,1119503192293695490,"['Zomato', 'zomatocare']",279
99,2019-06-22 19:22:53,0,57,182,@zomatocare This is wrt Order ID : 1105371435. My food had worms in it and we had vomiting as soon as we ate the food. Yet your customer care does not reply. Is this the service you offer at your platform?,0,False,karan_kapoor_95,1142513307036737536,2173469546,['zomatocare'],205
101,2019-06-22 19:22:41,0,85,180,@Pooja_2727 @zomatocare चवला 🙄🙄 kya hai,0,False,lionbhai,1142513253995540480,162977775,"['Pooja_2727', 'zomatocare']",39
102,2019-06-22 19:22:23,0,1,4,"@Zomato @zomatocare when I contacted the chat support they told its based on availability,  then why are you charging 50Rs extra,  then they told they are unable to reach the restorant and next time will server better,  so what I do with the extra 50 I paid,  order no 1988743237",0,False,Raghuna32423565,1142513178691031041,1119503192293695490,"['Zomato', 'zomatocare']",279
103,2019-06-22 19:21:44,0,85,180,@zomatocare 1905697606,0,False,lionbhai,1142513015826214912,162977775,['zomatocare'],22
104,2019-06-22 19:21:26,1,53,44,"@capt_ivane @sardanarohit @ZomatoIN @BercosChinese Don't order veg items from any one @swiggy_in @ZomatoIN @foodpandaIndia , they definitely delivered nonveg. Mostly in biriyani..🤔",0,False,madan_vijayp,1142512939271741440,3259110236,"['capt_ivane', 'sardanarohit', 'ZomatoIN', 'BercosChinese', 'swiggy_in', 'ZomatoIN']",180
105,2019-06-22 19:20:03,0,355,558,"@iambisu @Zomato @zomatocare @ZomatoIN 😫😫😣 

I can feel your pain bro.. That too Girija's Pakoda. 

They are very good at juggling orders. 

#Zomato : The Jugglers",0,False,swagat06,1142512591773638656,102430225,"['iambisu', 'Zomato', 'zomatocare', 'ZomatoIN']",163
107,2019-06-22 19:19:45,0,593,480,@zomatocare @Zomato Order cancelled due to Zomato's glitch and now refusing to refund the amount. Such fraud going on. @Zomato,0,False,Lucifer0fficia1,1142512516162961408,703612190738161664,"['zomatocare', 'Zomato', 'Zomato']",126
108,2019-06-22 19:19:33,1,1,4,"@Zomato @zomatocare today I ordered paneer pizza from pizza Hut and with that there were top up option with extra 50 Rs payment,  I selected babycorn and ordered,  The delivery was without the topup,  and the pizza delivered with the box open and cold,  pathetic",0,False,Raghuna32423565,1142512465315373056,1119503192293695490,"['Zomato', 'zomatocare']",262
109,2019-06-22 19:18:52,1,19,53,"@epvprajapati @zomatocare doesnt know what good food looks like....click your shit and send it to them, very bright chances that they will agree to thats the food they delivered
#boycottzomato",0,False,winkmadman,1142512294762409984,95245269,"['epvprajapati', 'zomatocare']",192
110,2019-06-22 19:16:33,0,23,316,"Hello @zomatocare  I am waiting 45 mint my food 
My oder number1898083315 give me delivery time",0,False,MUNNAKUMARGUPT,1142511710575611904,545915670,['zomatocare'],95
112,2019-06-22 19:16:12,1,19,53,"@borichaviyat @Zomato @ZomatoIN @zomatocare Arz kia hai...
In order to beat the heat...
Cook the food at home, but dont order from zomato cheat

Wah wah...wah waah

#boycottzomato",0,False,winkmadman,1142511624802074624,95245269,"['borichaviyat', 'Zomato', 'ZomatoIN', 'zomatocare']",179
113,2019-06-22 19:15:12,0,13,254,"@Zomato @zomatocare @ZomatoIN @deepigoyal @mohitcharu 
Hi Zomato
Your executive was negating me. I have attached the photo already. I have already replied the mail.But till now I didn't get any kind of sort out.i really feel bad.. https://t.co/veadCOTo9Z",0,False,SambitPanda4,1142511372011368448,475644593,"['Zomato', 'zomatocare', 'ZomatoIN', 'deepigoyal', 'mohitcharu']",254
115,2019-06-22 19:14:30,0,782,101,"@PWNeha @ZomatoIN They charged me Rs 45 Surge, when ask why surge charge, said no riders to deliver, plus 25 Delivery charge, day by day they are getting worse.",0,False,FlirtingBichoo,1142511197373079552,118965005,"['PWNeha', 'ZomatoIN']",160
116,2019-06-22 19:13:38,2,19,53,"@awakeguy @zomatocare @ZomatoIN @zomatocare : did someone just said Refund?
Customer: Yes
@zomatocare : read our refund policies. We only refund if our delivery guy is unable to deliver due to natural calamity like volcano eruption on his way.
#boycottzomato",0,False,winkmadman,1142510975993577472,95245269,"['awakeguy', 'zomatocare', 'ZomatoIN', 'zomatocare', 'zomatocare']",258
117,2019-06-22 19:13:09,0,4,27,@Sheetal72661690 @mayursakhare @PAWANSANAN @Zomato @ZomatoIN @londonbubbleco Loose business?? Who are you now some kind of astrologer ... How many split personality you have??? This is 3rd I seen today.,0,False,NoMeRcY_1988,1142510854572658688,926668045275107328,"['Sheetal72661690', 'mayursakhare', 'PAWANSANAN', 'Zomato', 'ZomatoIN', 'londonbubbleco']",202
122,2019-06-22 19:09:13,0,4,27,@Sheetal72661690 @mayursakhare @PAWANSANAN @Zomato @ZomatoIN @londonbubbleco What a fool you are. Uber have their own cabs and hence they are... I really expect more stupid things come from you ... Go one throw/vomit some more.,0,False,NoMeRcY_1988,1142509865576751104,926668045275107328,"['Sheetal72661690', 'mayursakhare', 'PAWANSANAN', 'Zomato', 'ZomatoIN', 'londonbubbleco']",227
123,2019-06-22 19:08:37,0,377,259,"@swagat06 @Zomato @zomatocare @ZomatoIN I ordered Chicken pakoda from Girija, I got egg pudding 🤧",0,False,iambisu,1142509716263731200,113687880,"['swagat06', 'Zomato', 'zomatocare', 'ZomatoIN']",97
125,2019-06-22 19:07:47,0,19,53,"@Anuya17 @Zomato @zomatocare @ZomatoIN @swiggy_in @zomatocare is asking for order id as if tbey are really ingerested1in resolving the issue...big lol 
#boycottzomato https://t.co/E8XgzJ8RTG",0,False,winkmadman,1142509504119992320,95245269,"['Anuya17', 'Zomato', 'zomatocare', 'ZomatoIN', 'swiggy_in', 'zomatocare']",190
126,2019-06-22 19:07:31,4,31236,1536,"Ya this. Ordered from @ZomatoIN today and the delivery guy wasn’t in uniform. Not even a hat. Kindly explain, @ZomatoIN? https://t.co/kCJOfm7QAM",3,False,PWNeha,1142509439615791104,33252746,['ZomatoIN'],144
127,2019-06-22 19:06:28,0,282,1716,@ShyamAryaGK @ZomatoIN @zomatocare Complain to government agencies.,0,False,bhole_bhandari,1142509175185891328,27274457,"['ShyamAryaGK', 'ZomatoIN', 'zomatocare']",67
128,2019-06-22 19:06:05,0,282,1716,@ShyamAryaGK @ZomatoIN @zomatocare Shameful,0,False,bhole_bhandari,1142509079065055232,27274457,"['ShyamAryaGK', 'ZomatoIN', 'zomatocare']",43
130,2019-06-22 19:04:19,1,101,462,"Late night cravings or after party hunger pangs?! We've got you covered! Serving food 24/7 ♥

Order now!!!

THE CULINARY BOX, BANER
 
@ZomatoIN  @swiggy_in

#foodtruck #pune #food #foodies #foodie #foodporn #instafood #allnightlong #fooddelivery #culinary #foodblog #foodbloggers",2,False,TheCulinaryBox_,1142508632799662080,1011172965067653121,[],279
131,2019-06-22 19:03:28,0,3,31,@deepigoyal @zomatocare @ZomatoIN  i didn't got any call from your side totally fake commitment never believe Zomato very very worst service,0,False,rahul60ee,1142508417971412992,1111982832,"['deepigoyal', 'zomatocare', 'ZomatoIN']",140
135,2019-06-22 19:01:58,0,3,31,@deepigoyal @ZomatoIN @zomatocare yesterday I had faced issue with my order and after facing issue I got  a call from zomato care after 2 hrs I told him to call me today anytime then he told he is in night shift so he will call me today at 11pm,0,False,rahul60ee,1142508039506841600,1111982832,"['deepigoyal', 'ZomatoIN', 'zomatocare']",244
136,2019-06-22 19:01:55,0,4,27,@Sheetal72661690 @mayursakhare @PAWANSANAN @Zomato @ZomatoIN @londonbubbleco Lol ... She is begging work from zomato whom she was targeting sometime ago for me. Wow ... What a flip of personality ... what kind of person you are?? I found out you got racist upbringing and now figured you have dual personality too. Aparichit ...!,0,False,NoMeRcY_1988,1142508027792125952,926668045275107328,"['Sheetal72661690', 'mayursakhare', 'PAWANSANAN', 'Zomato', 'ZomatoIN', 'londonbubbleco']",329
138,2019-06-22 19:00:28,0,60,477,"I planned a surprised for my Friend but @ZomatoIN completley spoiled it, by not delivering the order an showing status of it is deliverer, I Demand a double refund as guys spoiled my evening surprise for my Love one @zomatocare https://t.co/mpEuVMV9aM",0,False,Dvpahuja,1142507665064525824,2154229250,['ZomatoIN'],251
140,2019-06-22 18:58:12,0,8,125,"@capt_ivane @ZomatoIN @BercosChinese Totally frustrating. Delivering non veg dish when u want Veg.😡😡😡
If you can't handle the food delivering service, shut it down but don't ruin ppl feeling, sentiments and culture.
Idiots wont take any action.
Just a statement wont help, post whatever action u'll take on twitter",0,False,AkshayJ73384633,1142507094177751040,1133437497638178816,"['capt_ivane', 'ZomatoIN', 'BercosChinese']",314
141,2019-06-22 18:57:56,0,0,2,@Zomato ab tk koi reply ni aya hai. ap ase sambhalte ho customer ko. kya ap problem solve hi ni krte.@zomatocare @PMOIndia #complaint,0,False,NISHUGU00156230,1142507026389454848,1050455110990458880,"['Zomato', 'zomatocare', 'PMOIndia']",133
143,2019-06-22 18:56:04,0,140,294,@zomatocare order number: 1445559427,0,False,htrthtanna,1142506554677067776,262524220,['zomatocare'],36
144,2019-06-22 18:55:46,0,52,587,@zomatocare I placed the order via friend's phone. I'm deeply disappointed at the customer support executive and the attitude shown. Regardless of who placed order one needs to be human,0,False,ConsoleFever,1142506479313801216,1514587051,['zomatocare'],185
145,2019-06-22 18:55:40,0,0,4,"Recently i’ve order something and after some time it was showing that my order is delivered but it wasn’t delivered my money was deducted , no delivery boy came to my given address and on the chat support no one is giving me the reply.
@Zomato @ZomatoIN @zomatocare https://t.co/E9KI3HL6yC",0,False,DineshShahani3,1142506457130082304,1052558647648124929,[],289
147,2019-06-22 18:54:35,0,2693,52,"@zomatocare @lionbhai इससे क्या होगा ????
चिकन क्या जादू से चवला बन जायेगा ??",0,False,Pooja_2727,1142506183787524096,997010179278417920,"['zomatocare', 'lionbhai']",77
